SYMBOL,29 jan 2020,30 jan 2020,31 jan 2020
DCW,0.5999994,5.3499985,1.8500004,
DECCANCE,10.5,8.149994,1.5,
DEEPAKFERT,6.3499985,0.0,11.75,
DEEPAKNTR,7.350006,2.0499992,0.40000057,
DEEPIND,3.050003,3.3500023,14.399994,
DELTACORP,5.050003,12.549988,4.2999954,
DELTAMAGNT,2.7000008,0.75,21.450012,
DEN,3.4500008,17.0,3.9000015,
DENORA,9.5,5.5499954,10.299988,
DEVIT,2.100006,9.700012,2.9000015,
DFMFOODS,28.899994,7.0,1.75,
DGCONTENT,0.20000029,10.5,5.949997,
DHAMPURSUG,11.350006,1.9000015,0.05000305,
DHANBANK,0.5500002,1.6500015,18.399994,
DHANUKA,51.850006,9.850006,0.5,
DHARSUGAR,0.5499997,2.800003,10.399994,
DHFL,0.8499994,19.050018,0.29999924,
DHFL,0.0,0.4499998,54.650024,
DHFL,10.0,8.600006,0.39999962,
DHFL,15.0,0.45000076,0.35000038,
DHFL,1.0,32.400024,0.009994507,
DHFL,15.0,0.4500003,13.0,
DHFL,25.059998,0.29999924,20.0,
DHFL,2.0,5.0,23.0,
DHFL,0.1000061,10.0,15.5,
DHFL,3.0,12.410004,24.450012,
DHFL,0.0,0.0,0.049999952,
DHUNINV,23.899994,0.0,5.299988,
DIAMONDYD,23.650024,34.0,0.25,
DIAPOWER,0.099999964,7.800003,0.050000012,
DICIND,24.75,19.0,0.6499996,
DIGISPICE,0.3499999,0.099999964,36.0,
DIGJAMLTD,0.100000024,14.800018,259.9502,
DISHTV,1.3499994,0.4499998,8.499985,
DIVISLAB,58.349976,0.100000024,5.4000015,
DIXON,247.5503,1.75,84.05005,
DLF,5.149994,39.25,0.099999994,
DLINKINDIA,3.5,428.0,2.4000015,
DMART,56.25,6.800003,9.949997,
DNAMEDIA,0.049999982,4.449997,0.95000076,
DOLAT,2.7000008,86.19995,0.0,
DOLLAR,7.099991,0.099999994,0.6499996,
DONEAR,1.5,3.2000008,5.0,
DPSCLTD,0.5500002,6.800003,0.0,
DPWIRES,4.4000015,1.1499996,13.5,
DQE,0.0,0.24999952,89.75,
DREDGECORP,8.700012,4.4000015,0.0,
DRREDDY,102.65015,0.0,1.8500004,
DSML,0.05000019,6.5500183,6.549988,
DSSL,1.6000004,51.44995,0.4499998,
DTIL,4.199997,0.8500004,2.3499985,
DUCON,0.3000002,5.599991,1.5499992,
DVL,2.6500015,0.25,41.150024,
DWARKESH,2.5,2.050003,9.649994,
DYNAMATECH,62.700012,1.7000008,1.0,
DYNPRO,6.949997,46.799988,0.100000024,
E2E,0.0,7.949997,0.099999905,
EASTSILK,0.100000024,0.20000076,1.3499756,
EASUNREYRL,0.1500001,0.099999964,1.2399902,
EBBETF0423,0.89001465,0.19999981,44.849976,
EBBETF0430,1.8200073,1.2700195,10.400024,
EC2RG,0.1500001,1.6500244,0.0,
ECLERX,15.099976,47.400024,7.950012,
ECLFINANCE,12.5,9.799988,0.0,
ECLFINANCE,27.0,0.0,0.0,
ECLFINANCE,6.0,0.0,10.0,
ECLFINANCE,10.0,8.950012,59.900024,
ECLFINANCE,30.0,0.0,19.950012,
ECLFINANCE,11.0,0.0,20.0,
ECLFINANCE,57.0,26.0,0.0,
ECLFINANCE,84.900024,8.98999,25.890015,
